id_vivienda,id_hogar,sexo,fecha_nacimiento,edad,estado_actividad,nivel_educativo,ingreso,prestamo_personas,prestamo_banco,compra_cuotas
TQRMNOQVYHMMLMCDEIOAH00813233,1,2,2001-08-31 00:00:00,22,1,5,1800000.0,2,1,2
TQRMNOQWTHMMLNCDEIOAH00813236,1,1,1952-08-01 00:00:00,72,3,2,780000.0,2,2,1
TQRMNOQWTHMMLNCDEIOAH00813236,1,2,1954-11-29 00:00:00,69,3,2,375000.0,2,2,1
TQRMNOSVPHJMLNCDEIOAH00863086,1,1,1973-08-30 00:00:00,50,1,2,80000.0,2,2,2
TQRMNOSVPHJMLNCDEIOAH00863086,1,2,1967-08-26 00:00:00,56,1,2,350000.0,2,2,2
TQRMNOPRUHKNKNCDEIOAH00868611,1,2,1962-09-26 00:00:00,61,3,2,280000.0,2,2,2
TQRMNOPRUHKNKNCDEIOAH00868611,1,2,2002-03-27 00:00:00,22,1,4,280000.0,2,2,2
TQRMNOSVSHMOMPCDEFKID00808989,1,1,2000-10-11 00:00:00,23,1,4,600000.0,2,2,2
TQRMNOSVSHMOMPCDEFKID00808989,1,2,2003-10-29 00:00:00,20,1,5,250000.0,2,2,2
TQRMNOPTXHLOLRCDEFIAH00803405,2,1,1991-06-07 00:00:00,33,1,2,360000.0,2,2,1
TQRMNOSRXHJOMMCDEFIAH00863308,1,2,1992-09-24 00:00:00,31,3,3,372000.0,2,2,2
TQRMNOSRXHJOMMCDEFIAH00863308,1,1,1984-01-09 00:00:00,40,1,2,400000.0,2,2,2
TQRMNOPTRHMKLTCDEGJBF00810098,1,2,1997-05-25 00:00:00,27,1,5,900000.0,1,2,2
TQRMNOTTYHMKLTCDEGJBF00810083,1,1,1993-02-23 00:00:00,31,1,6,630000.0,2,2,2
TQRMNOTTYHMKLTCDEGJBF00810083,1,2,1992-09-15 00:00:00,31,1,6,1025000.0,2,2,2
TQRMNOQYYHJKLPCDEGJBF00863418,1,2,2005-06-02 00:00:00,18,3,5,1000000.0,2,2,2
TQRMNOPVTHJOLQCDEGJBF00862997,1,1,1989-12-22 00:00:00,34,1,5,930000.0,1,1,1
TQRMNOPVTHJOLQCDEGJBF00862997,1,2,1990-04-18 00:00:00,34,1,6,520000.0,1,1,1
TQRMNORPQHJOLQCDEGJBF00863010,1,2,1965-10-22 00:00:00,58,3,3,260000.0,1,2,2
TQRMNOQYPHJMLRCDEGJBF00863047,1,1,1980-09-19 00:00:00,43,1,4,1300000.0,2,1,1
