id_vivienda,id_hogar,region,sexo,fecha_nacimiento,edad,estado_actividad,nivel_educativo,ingreso,prestamo_personas,prestamo_banco,compra_cuotas
TQRMNOQTTHKOLQCDEGIBJ00868503,1,41,1,1962-03-07 00:00:00,62,3,4,600000.0,2,2,1
TQRMNOQTTHKOLQCDEGIBJ00868503,1,41,2,1960-03-07 00:00:00,64,3,6,600000.0,2,2,1
TQRMNOQTTHKOLQCDEGIBJ00868503,1,41,2,1995-09-14 00:00:00,29,3,5,0.0,2,2,1
TQRMNOQTTHKOLQCDEGIBJ00868503,1,41,2,1993-04-20 00:00:00,31,2,5,0.0,2,2,1
TQRMNOPXXHMOKMCDEFOCD00852385,1,41,2,1947-12-12 00:00:00,76,3,2,501000.0,2,2,1
TQRMNOPXXHMOKMCDEFOCD00852385,1,41,1,1980-08-05 00:00:00,44,2,4,0.0,2,2,1
TQRMNOPXXHMOKMCDEFOCD00852385,1,41,2,1989-09-03 00:00:00,35,1,3,120000.0,2,2,1
TQRMNOPXXHMOKMCDEFOCD00852385,1,41,1,2007-11-19 00:00:00,16,3,3,0.0,2,2,1
TQRMNOPXXHMOKMCDEFOCD00852385,1,41,2,2022-07-20 00:00:00,2,4,7,0.0,2,2,1
TQRMNOPXXHMOKMCDEFOCD00852385,1,41,2,1992-06-06 00:00:00,32,3,4,157000.0,2,2,1
TQRMNOPXXHMOKMCDEFOCD00852385,1,41,2,1991-11-13 00:00:00,32,3,4,157000.0,2,2,1
TQRMNOPXXHMOKMCDEFOCD00852385,1,41,2,2007-12-13 00:00:00,16,3,3,0.0,2,2,1
TQRMNOTPWHMOKMCDEFOCD00852386,1,41,2,1900-01-01 00:00:00,69,3,4,304000.0,2,2,2
TQRMNOPQTHLMKRCDEFPCH00804441,1,44,1,1967-01-04 00:00:00,57,1,4,-9.0,1,1,2
TQRMNOPQTHLMKRCDEFPCH00804441,1,44,2,1968-05-06 00:00:00,56,3,1,118000.0,1,1,2
TQRMNOSWXHLOKUCDEFPCH00804456,1,44,2,1977-06-17 00:00:00,47,1,4,400000.0,2,2,2
TQRMNOPSTHKLLNCDEIGED00868538,1,43,2,1996-06-01 00:00:00,28,1,5,100000.0,1,2,2
TQRMNORVSHKKLOCDEIGED00868539,1,43,2,1959-09-04 00:00:00,64,3,6,600000.0,2,2,1
